zpid,street,city,state,zipcode,bedroom,bathroom,sqft,zestimate,cluster,sqft_norm,zestimate_norm
2098608398,E1011 Plan, Rockwell San Francisco,CA,94109,2,2.0,1139,1733726,2,0.859622641509,1.3260747186
2097755397,388 Fulton St # 411, San Francisco,CA,94102,2,1.0,714,965348,5,0.538867924528,0.738365564948
15129447,337 Douglass St, San Francisco,CA,94114,3,3.0,1600,1923291,2,1.20754716981,1.47106726877
2097755733,2121 Webster Street Rh # 2, San Francisco,CA,94115,3,3.0,2423,3802353,3,1.82867924528,2.90830510964
2098636651,2475 Clay St, San Francisco,CA,94115,3,3.0,2423,3865052,3,1.82867924528,2.95626168339
2097755745,Row House Collection 3-Story Plan, San Francisco,CA,94115,3,3.0,2423,3802353,3,1.82867924528,2.90830510964
15177732,465 Stoneridge Ln # 3301, San Francisco,CA,94134,2,2.0,1111,639411,5,0.838490566038,0.489066185717
2097756977,3138 Scott St, San Francisco,CA,94123,2,1.0,1130,1231614,2,0.852830188679,0.942024396288
80745391,563 Minna St APT 1, San Francisco,CA,94103,2,2.0,1257,695621,5,0.948679245283,0.532059519111
15171782,690 Brussels St, San Francisco,CA,94134,4,2.0,1712,757267,2,1.2920754717,0.579210684926
15164059,659 Banks St, San Francisco,CA,94110,4,6.0,2100,1104659,2,1.58490566038,0.844920346455
15160093,1479 Shotwell St, San Francisco,CA,94110,2,1.0,2140,1696598,3,1.61509433962,1.29767663139
15127493,141 States St, San Francisco,CA,94114,3,2.0,1484,1465222,2,1.12,1.12070410857
2098636733,Residence 6 Plan, LUMINA San Francisco,CA,94105,2,2.0,1495,2397339,3,1.12830188679,1.83365228405
69820113,673 Kansas St # 1, San Francisco,CA,94107,2,1.0,0,1216255,6,0.0,0.930276760501
61288450,77 Dow Pl APT 108, San Francisco,CA,94107,1,1.5,1057,962959,5,0.797735849057,0.736538290914
15141245,443 Capistrano Ave, San Francisco,CA,94112,4,2.0,1832,1184731,2,1.38264150943,0.90616500384
15153310,5 Mabrey Ct, San Francisco,CA,94124,3,2.0,1776,812177,2,1.34037735849,0.621209687535
82786088,425 1st St UNIT 1707, San Francisco,CA,94105,1,1.0,819,1138353,5,0.618113207547,0.870691870657
2097768822,365 67 12th St, San Francisco,CA,94103,0,0.0,1902,1161230,2,1.43547169811,0.88818979786
2099276061,1931 15th St, San Francisco,CA,94114,3,2.0,2580,2626011,3,1.94716981132,2.00855659884
89237610,432 Jersey St, San Francisco,CA,94114,2,1.0,1053,1124241,5,0.794716981132,0.859898027554
96041763,1299 Bush St APT 201, San Francisco,CA,94109,2,3.0,1530,1706364,2,1.15471698113,1.30514635019
15100883,1229 45th Ave, San Francisco,CA,94122,0,0.0,1460,945113,2,1.10188679245,0.722888423848
15073451,2225-2227 Pacific Ave, San Francisco,CA,94115,6,5.0,4700,4931310,0,3.54716981132,3.77181026333
15153857,1243 Quesada Ave, San Francisco,CA,94124,3,1.0,1440,739588,5,1.08679245283,0.565688551122
89240309,425 1st St UNIT 4605, San Francisco,CA,94105,1,1.0,860,998035,5,0.649056603774,0.763366865227
15069888,37 Rico Way, San Francisco,CA,94123,3,1.0,1845,2384575,3,1.39245283019,1.82388948549
2097772510,1401 Waller St, San Francisco,CA,94117,0,0.0,2606,1718007,3,1.96679245283,1.31405172968
15193845,316 Orizaba Ave, San Francisco,CA,94132,2,1.0,800,631794,5,0.603773584906,0.483240172187
15140297,67 Paulding St, San Francisco,CA,94112,2,1.0,1000,885549,5,0.754716981132,0.677329717029
15074424,2200 Sacramento St APT 706, San Francisco,CA,94115,2,2.0,1110,1243239,2,0.837735849057,0.950916008114
119685059,941 Cayuga Ave, San Francisco,CA,94112,3,2.5,1660,993863,2,1.25283018868,0.760175828278
63196194,1333 Jones St APT 802, San Francisco,CA,94109,1,2.0,0,1765721,6,0.0,1.35054672896
2099430833,Residence F2 Plan, Summit 800 San Francisco,CA,94132,3,2.5,2207,1465771,3,1.66566037736,1.12112402211
15072728,1998 Broadway APT 507, San Francisco,CA,94109,2,2.0,1030,1147574,5,0.777358490566,0.877744735401
15124993,2632 35th Ave, San Francisco,CA,94116,3,1.0,1500,1097523,2,1.1320754717,0.839462235317
67090195,400 Beale St APT 1005, San Francisco,CA,94105,1,1.0,828,907605,5,0.624905660377,0.694199686097
15187305,449 Urbano Dr, San Francisco,CA,94127,0,1.0,1600,1532729,2,1.20754716981,1.17233817649
15085160,2028 Mcallister St, San Francisco,CA,94118,0,1.0,1545,1610121,2,1.16603773585,1.23153298272
15138751,424 Gennessee St, San Francisco,CA,94127,4,2.0,1838,1308029,2,1.38716981132,1.00047192469
15069423,631 Ofarrell St APT 414, San Francisco,CA,94109,0,1.0,520,472697,4,0.392452830189,0.361551676136
15158160,206 Bridgeview Dr, San Francisco,CA,94124,3,2.0,1440,760055,5,1.08679245283,0.581343142024
2097784789,654 Castro St, San Francisco,CA,94114,0,0.0,4386,2798034,0,3.31018867925,2.14013180237
82786241,177 Townsend St UNIT 335, San Francisco,CA,94107,1,1.0,815,921357,5,0.615094339623,0.704718176061
15090814,362 28th Ave, San Francisco,CA,94121,2,1.0,1090,1281591,2,0.822641509434,0.980250296005
15143092,236 Guerrero St, San Francisco,CA,94103,3,2.0,1539,1455573,2,1.16150943396,1.11332387954
