ZPID,Street, City, State_Zipcode, Bedroom, Bathroom, Sqft, Zestimate
19690498,1872 Pandora Dr, San Jose, CA 95124 ,3 beds,1 bath,930 sqft,$842,776
122230248,2611 Celadon Cir UNIT 4, San Jose, CA 95133 ,3 beds,4 baths,1,809 sqft,$831,721
2097645306,505 Eucalyptus Dr # 505, San Jose, CA 95134 ,3 beds,2 baths,1,440 sqft,$704,569
19735895,3771 Honolulu Dr, San Jose, CA 95111 ,3 beds,2 baths,1,457 sqft,$640,099
19716443,1165 Camano Ct, San Jose, CA 95122 ,4 beds,2 baths,1,350 sqft,$604,144
19714177,1187 S 6th St, San Jose, CA 95112 ,3 beds,1 bath,1,550 sqft,$606,833
19564239,1215 Old Forge Ln, San Jose, CA 95132 ,3 beds,2 baths,1,041 sqft,$816,667
69302616,434 Cypress Ave, San Jose, CA 95117 ,Studio,-- baths,3,390 sqft,$1,838,280
19715081,1891 Kinross Way, San Jose, CA 95122 ,3 beds,1 bath,1,026 sqft,$590,598
19831189,5889 Cadiz Dr, San Jose, CA 95123 ,3 beds,2 baths,1,380 sqft,$806,992
94695856,177 Esfahan Dr, San Jose, CA 95111 ,3 beds,3 baths,1,794 sqft,$707,801
51075585,5198 Saint Annes Ct, San Jose, CA 95138 ,3 beds,3 baths,2,827 sqft,$1,575,322
19694950,3715 Jarvis Ave, San Jose, CA 95118 ,4 beds,2 baths,1,233 sqft,$895,316
19840897,7135 Via Lomas, San Jose, CA 95139 ,4 beds,2 baths,2,431 sqft,$933,459
19684549,1449 Alma Loop, San Jose, CA 95125 ,2 beds,2 baths,1,054 sqft,$563,902
2098359601,G2 Floor Plan - Loft #112 Plan, The Globe San Jose, CA 95113 ,1 bed,1 bath,801 sqft,$499,217
19691589,2260 Meridian Ave, San Jose, CA 95124 ,Studio,-- baths,2,304 sqft,$1,343,916
19764942,1246 Silverado Dr, San Jose, CA 95120 ,4 beds,2 baths,1,795 sqft,$1,198,340
19696948,3180 Cherry Ave, San Jose, CA 95118 ,4 beds,3 baths,1,767 sqft,$992,695
19586439,414 S Buena Vista Ave, San Jose, CA 95126 ,2 beds,3 baths,1,055 sqft,$567,370
19765485,6805 Castlerock Dr, San Jose, CA 95120 ,5 beds,3 baths,2,716 sqft,$1,616,930
19821717,455 Roading Dr, San Jose, CA 95123 ,3 beds,2 baths,1,223 sqft,$768,017
19800405,8789 Grape Wagon Cir, San Jose, CA 95135 ,2 beds,2 baths,1,415 sqft,$688,197
